Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Attack Name,Label
192.168.137.236-8.219.211.108-44660-443-6,192.168.137.236,44660,8.219.211.108,443,6,31/08/2023 03:06:05 PM,243956,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,127.07209496794503,12.29729951302694,121978.0,171794.42091639646,243455.0,501.0,0.0,0.0,0.0,0.0,0.0,501.0,501.0,0.0,501.0,501.0,0,0,0,0,20,40,4.099099837675646,8.198199675351292,0.0,31.0,7.75,15.500000000000002,240.25000000000003,1,0,0,1,3,0,0,0,2.0,10.333333333333334,0.0,15.5,0,0,0,0,0,0,0,0,0,0,199,60,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS UDP Flood,1
192.168.137.35-34.173.20.6-37164-443-6,192.168.137.35,37164,34.173.20.6,443,6,31/08/2023 03:06:01 PM,30222381,6,5,24.0,63.0,24.0,0.0,4.0,9.797958971132712,39.0,0.0,12.6,18.04993074778959,2.8786613470328497,0.3639686760616247,3022238.100000001,6023396.9002518,14586284.0,0.0,29811436.0,5962287.199999999,8164819.53300388,15048191.0,0.0,29760474.0,7440118.499999999,8592049.811656142,15048635.0,1.0,0,0,0,0,192,160,0.1985283687608862,0.1654403073007385,0.0,39.0,7.250000000000001,13.625677631189244,185.6590909090909,2,0,0,3,11,0,0,0,0.0,7.909090909090909,4.0,12.6,0,0,0,0,0,0,3,12,2,31,317,331,1,32,462129.0,313.9554108468271,462351.0,461907.0,14443589.0,201801.2042828288,14586284.0,14300894.0,DoS UDP Flood,1
47.241.218.164-192.168.137.236-5222-48104-6,47.241.218.164,5222,192.168.137.236,48104,6,31/08/2023 03:06:21 PM,10000105,6,0,535.0,0.0,107.0,0.0,89.16666666666667,43.682567079633344,0.0,0.0,0.0,0.0,53.49943825589831,0.5999937000661494,2000021.0,1237299.5790779612,3437625.0,794011.0,10000105.0,2000021.0,1237299.5790779612,3437625.0,794011.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,192,0,0.5999937000661494,0.0,0.0,107.0,91.71428571428572,40.44219861198732,1635.571428571429,0,0,1,5,6,0,0,0,0.0,107.0,89.16666666666667,0.0,0,0,0,0,0,0,2,178,0,0,127,0,4,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS UDP Flood,1
192.168.137.210-142.251.41.37-36782-443-6,192.168.137.210,36782,142.251.41.37,443,6,31/08/2023 03:06:34 PM,442024,2,2,0.0,73.0,0.0,0.0,0.0,0.0,73.0,0.0,36.5,51.61879502661797,165.14940365229037,9.049282391906322,147341.33333333334,152346.83860957972,320284.0,32983.0,32983.0,32983.0,0.0,32983.0,32983.0,88757.0,88757.0,0.0,88757.0,88757.0,0,0,0,0,64,64,4.524641195953161,4.524641195953161,0.0,73.0,14.6,32.64659247149693,1065.8,2,0,0,1,4,0,0,0,1.0,18.25,0.0,36.5,0,0,0,0,0,0,0,0,0,0,215,304,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS UDP Flood,1
192.168.137.250-185.125.190.17-35294-80-6,192.168.137.250,35294,185.125.190.17,80,6,31/08/2023 03:06:40 PM,729769,5,3,87.0,189.0,87.0,0.0,17.4,38.90758280849634,189.0,0.0,63.0,109.11920087683929,378.2018693586601,10.962373024888697,104252.71428571428,104564.51410925582,216812.0,0.0,320420.0,80105.0,103180.741271486,216208.0,0.0,192537.0,96268.5,136139.9756886272,192534.0,3.0,0,0,0,0,168,104,6.851483140555436,4.110889884333262,0.0,189.0,30.666666666666668,65.97916337753912,4353.25,2,2,0,2,7,0,0,0,0.0,34.5,17.4,63.0,0,0,0,0,0,0,0,0,0,0,64240,502,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS UDP Flood,1
192.168.137.35-143.204.7.214-41992-443-6,192.168.137.35,41992,143.204.7.214,443,6,31/08/2023 03:06:17 PM,30409673,4,3,24.0,0.0,24.0,0.0,6.0,12.0,0.0,0.0,0.0,0.0,0.7892225608608155,0.2301899135844045,5068278.833333334,11900228.45759486,29355416.0,0.0,29996190.0,9998730.0,17219661.98529797,29882174.0,0.0,29882915.0,14941457.5,21130409.00969408,29882913.0,2.0,0,0,0,0,128,96,0.1315370934768026,0.0986528201076019,0.0,24.0,3.0,8.48528137423857,72.0,2,0,0,1,7,0,0,0,0.0,3.4285714285714284,6.0,0.0,0,0,0,0,0,0,4,24,3,0,1424,3477,1,32,526758.0,0.0,526758.0,526758.0,29355416.0,0.0,29355416.0,29355416.0,DoS UDP Flood,1
192.168.137.210-52.232.209.85-60178-443-6,192.168.137.210,60178,52.232.209.85,443,6,31/08/2023 03:06:48 PM,0,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,256430.5741221202,23896.723739051424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,0,0.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,1,1,2,0,0,0,0.0,31.0,15.5,0.0,0,0,0,0,0,0,0,0,0,0,200,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS UDP Flood,1
192.168.137.35-52.33.155.26-53048-443-6,192.168.137.35,53048,52.33.155.26,443,6,31/08/2023 03:07:29 PM,1101766,42,24,45079.0,6094.0,1448.0,0.0,1073.309523809524,625.3993256251965,1448.0,0.0,253.91666666666663,541.5419945711117,46446.341600666565,59.90382712844651,16950.24615384615,36619.54590235536,128052.0,0.0,688290.0,16787.560975609755,37397.51510130638,121817.0,0.0,582882.0,25342.69565217392,43336.14804633738,128052.0,0.0,0,0,0,0,1352,776,38.12061726355687,21.78320986488964,0.0,1448.0,763.7761194029849,713.7993483634644,509509.5097241065,2,2,0,8,65,0,0,0,0.0,775.3484848484849,1073.309523809524,253.91666666666663,0,0,0,51173,40,56442,0,0,0,0,29200,853,34,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS UDP Flood,1
192.168.137.243-44.230.212.240-33436-443-6,192.168.137.243,33436,44.230.212.240,443,6,31/08/2023 03:07:30 PM,1809600,11,5,1078.0,2432.0,374.0,0.0,98.0,146.4554539783343,1448.0,0.0,486.4,685.9364402041926,1939.655172413793,8.841732979664014,120639.99999999996,160493.59383833004,622886.0,1.0,1809600.0,180960.0,302619.789931194,1031322.0,3202.0,1270279.0,317569.75,571986.2827191897,1172956.0,1.0,0,0,0,0,348,168,6.078691423519009,2.763041556145004,0.0,1448.0,206.4705882352941,407.76710841592205,166274.01470588235,1,2,1,6,14,0,0,0,0.0,219.375,98.0,486.4,0,0,0,3510,7,2354,0,0,0,0,29200,131,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS UDP Flood,1
192.168.137.243-44.230.212.240-33436-443-6,192.168.137.243,33436,44.230.212.240,443,6,31/08/2023 03:07:32 PM,401880,1,7,0.0,756.0,0.0,0.0,0.0,0.0,389.0,0.0,108.0,164.9434246441286,1881.158554792476,19.906439733253706,57411.42857142857,56565.09990225759,143672.0,0.0,0.0,0.0,0.0,0.0,0.0,335061.0,55843.5,61797.10407697112,143672.0,0.0,0,0,0,0,20,224,2.488304966656713,17.418134766596992,0.0,389.0,84.0,150.5747322760363,22672.75,1,0,1,3,7,0,0,0,7.0,94.5,0.0,108.0,0,0,0,0,0,0,0,0,0,0,0,135,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS UDP Flood,1
